evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,BiomassInit,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,evolution$generated,om_MSTb,om_MFETc,om_MFETb,om_MSTc,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,om_biomassfished,mySeed
900,900,493.44686716886537,4.561894832635197,true,1324.8316457098902,202720.34172814744,46348.20243045758,2.3540392513045218E7,1,54,"[0.9884931506849315]","[540.0]","[43.0]","[0.8183561643835616]","[2.3540392513045218E7]","[1.9974942391621146E7]","[46348.20243045758]","[3565450.1214240706]","[69.00436304390371]","[-780636132]"
900,900,437.2389521552926,6.0,true,2883.063563211464,183583.71692560083,75974.05592160979,1.3055362446412018E8,1,738,"[0.7575342465753425]","[62.0]","[43.0]","[0.9832876712328767]","[1.3055362446412018E8]","[9.292237004113725E7]","[75974.05592160979]","[3.763125442298292E7]","[119.37391152577001]","[943899186]"
900,900,157.17739849384594,3.328065814566502,false,2315.41965876433,130670.9981285063,89643.07644114106,2.2894163318909675E8,1,445,"[0.86]","[76.0]","[49.0]","[0.9794520547945206]","[2.2894163318909675E8]","[1.602990648040866E8]","[89643.07644114106]","[6.864256838501014E7]","[65.50958248295407]","[-25710576]"
900,900,127.4484037111486,1.4674329069278271,false,1852.245334408103,277438.0499904586,189876.61451147372,5.161073747569108E8,1,810,"[0.0]","[40.0]","[0.0]","[0.9893150684931507]","[5.161073747569108E8]","[3.564414125318166E8]","[189876.61451147372]","[1.5966596222509417E8]","[109.55123185515833]","[724229806]"
900,900,458.26969324729805,5.711803140541354,false,2208.5614489766085,282939.5384860922,104638.10987589264,1.6505323401253074E8,1,621,"[0.6039293849658315]","[48.0]","[81.0]","[0.9871232876712329]","[1.6505323401253074E8]","[1.1638905086085781E8]","[104638.10987589264]","[4.866418315167292E7]","[186.47749297189839]","[1043911040]"
900,900,384.3951179482316,2.1463425976773527,true,1702.1582961158629,102935.79786896429,23770.673175941545,2.107054578474754E7,1,510,"[0.9997260273972602]","[844.0]","[2.0]","[0.7690410958904109]","[2.107054578474754E7]","[1.831621955741099E7]","[23770.673175941545]","[2754326.227336554]","[27.2629906524924]","[-958373502]"
900,900,464.9742485960781,0.5306959437218373,true,2097.7067673105803,190376.6055043841,19387.600716624016,2.150680141936878E7,1,293,"[0.9887671232876712]","[116.0]","[42.0]","[0.9684931506849315]","[2.150680141936878E7]","[1.869661661527807E7]","[19387.600716624016]","[2810184.8040907136]","[19.748543340640563]","[-2098284992]"
900,900,600.0,4.954111028917882,false,2325.4867890985042,259348.32707072835,11013.357975799578,2.2165580840592626E7,1,649,"[0.9876712328767123]","[60.0]","[46.0]","[0.9838356164383562]","[2.2165580840592626E7]","[1.8974100243483786E7]","[11013.357975799578]","[3191480.5971088395]","[25.294828972192736]","[-1312009799]"
900,900,279.4405925950174,2.4003152491894264,false,2621.721579151507,302347.467927865,130191.54442993889,4.094920898322005E8,1,525,"[0.3781038374717833]","[30.0]","[245.0]","[0.9920547945205479]","[4.094920898322005E8]","[2.8323544923905724E8]","[130191.54442993889]","[1.2625664059314328E8]","[147.50128519829616]","[-1046945745]"
900,900,164.4690633624736,5.125877461567454,false,2322.1081532783846,126369.65478436668,91871.04810706852,1.8731520259300742E8,1,66,"[0.6928767123287671]","[84.0]","[41.0]","[0.9772602739726027]","[1.8731520259300742E8]","[1.3188979130071072E8]","[91871.04810706852]","[5.542541129229669E7]","[66.69732124240493]","[-407256735]"
900,900,173.35495024540097,0.8880789653389428,false,1421.4064346802406,364741.2708733185,206222.20041806172,4.5698772583129185E8,1,762,"[0.0]","[45.0]","[0.0]","[0.9879452054794521]","[4.5698772583129185E8]","[3.159345306213773E8]","[206222.20041806172]","[1.4105319520991457E8]","[149.16801423351998]","[1253851078]"
900,900,252.21602480638109,5.228966270825676,true,2921.2260228668274,175744.19920886168,111942.27135841292,2.6476471681712812E8,1,550,"[0.46856158484065463]","[52.0]","[94.0]","[0.986027397260274]","[2.6476471681712812E8]","[1.8457857463329265E8]","[111942.27135841292]","[8.018614218383546E7]","[107.30336792188496]","[-1748914673]"
900,900,119.24694771194983,4.28150916081188,false,1270.2111089064122,187446.6866091563,143861.87534701047,1.806382059763226E8,1,894,"[0.0]","[91.0]","[0.0]","[0.9753424657534246]","[1.806382059763226E8]","[1.273915332077618E8]","[143861.87534701047]","[5.324667276856081E7]","[85.44691281989282]","[153478570]"
900,900,195.79313076595665,2.3306620730529,true,2043.8710029770768,271370.2771049703,158151.98190078206,3.7970244205937904E8,1,666,"[0.0]","[41.0]","[0.0]","[0.989041095890411]","[3.7970244205937904E8]","[2.6300213213433194E8]","[158151.98190078206]","[1.1670030992504708E8]","[129.498391554918]","[-1451124375]"
900,900,128.4523056300617,2.2221749635344867,true,1644.3585044497509,195266.16803522292,140336.99421441465,2.8939927477100265E8,1,457,"[0.0]","[71.0]","[0.0]","[0.9808219178082191]","[2.8939927477100265E8]","[2.0158695478220347E8]","[140336.99421441465]","[8.781231998879917E7]","[79.15087442142654]","[-3068205]"
900,900,205.43620220772485,2.452832177389857,false,1212.0370189989485,157610.6793746755,91708.80333975777,1.2334614565973061E8,1,881,"[0.8619178082191781]","[172.0]","[81.0]","[0.9531506849315069]","[1.2334614565973061E8]","[8.814890553518437E7]","[91708.80333975777]","[3.5197240124546245E7]","[79.12994112159744]","[836109776]"
900,900,541.3770145502617,4.015336960034642,true,2722.7484271557087,292373.1803230422,51199.321770760085,7.994313532293013E7,1,571,"[0.9761643835616438]","[37.0]","[71.0]","[0.9901369863013698]","[7.994313532293013E7]","[5.850056388349461E7]","[51199.321770760085]","[2.144257143943552E7]","[72.6734315044121]","[475117348]"
900,900,208.9419542966071,3.9070685145191018,false,1552.0425153951844,449046.3404584424,289828.6386624143,4.729983016975393E8,1,226,"[0.0]","[33.0]","[0.0]","[0.9912328767123287]","[4.729983016975393E8]","[3.2684158904728436E8]","[289828.6386624143]","[1.4615671265025494E8]","[252.06824543365926]","[-1444215680]"
900,900,50.0,3.4351050198449062,true,2096.079412841628,150621.18047157416,141068.45731329886,3.609773458058865E8,1,528,"[0.0]","[99.0]","[0.0]","[0.9731506849315068]","[3.609773458058865E8]","[2.5080656352160242E8]","[141068.45731329886]","[1.1017078228428406E8]","[20.94857838637462]","[-2120869124]"
900,900,192.424640526958,2.9735649533264112,true,1691.8849150848562,450000.0,277296.3528475956,5.1886051904986155E8,1,521,"[0.0]","[27.0]","[0.0]","[0.9928767123287672]","[5.1886051904986155E8]","[3.5796167369213337E8]","[277296.3528475956]","[1.6089884535772818E8]","[228.86569990951847]","[12130411]"
900,900,413.11405938056487,5.5851469448984625,true,2540.598376622641,210286.82388385577,90653.73530011714,1.475984031102822E8,1,288,"[0.6668493150684931]","[60.0]","[62.0]","[0.9838356164383562]","[1.475984031102822E8]","[1.045398334198604E8]","[90653.73530011714]","[4.305856969042183E7]","[135.27801735702533]","[-950560956]"
900,900,73.6543730996587,0.7781889962710709,false,2011.1556291112804,126040.85433838713,103921.3613563689,3.3422031984606886E8,1,146,"[0.0]","[96.0]","[0.0]","[0.9739726027397261]","[3.3422031984606886E8]","[2.3241669160306048E8]","[103921.3613563689]","[1.0180362824300839E8]","[30.84057887774349]","[-570368652]"
900,900,557.4090732462488,5.641722350317721,true,1638.5730622061146,437209.9674722603,122073.32803469061,1.0996614312274927E8,1,131,"[0.4841110793014601]","[46.0]","[117.0]","[0.9876712328767123]","[1.0996614312274927E8]","[7.883443905707149E7]","[122073.32803469061]","[3.1131704065677773E7]","[203.1242691812774]","[1325094123]"
900,900,439.66420491292894,2.9395746332465422,false,2180.8957241269018,381585.5558196494,37359.12647835868,9.922514392274667E7,1,867,"[0.961917808219178]","[30.0]","[116.0]","[0.9920547945205479]","[9.922514392274667E7]","[7.139891741055547E7]","[37359.12647835868]","[2.782622651219121E7]","[64.46525114958372]","[-2068593074]"
900,900,600.0,5.363234497886304,false,1708.6369034532963,450000.0,40734.00573055267,5.372249232123067E7,1,837,"[0.9468493150684931]","[39.0]","[82.0]","[0.9895890410958904]","[5.372249232123067E7]","[4.045304690663268E7]","[40734.00573055267]","[1.3269445414597996E7]","[92.42309622911888]","[1157969631]"
900,900,86.47917995960853,3.4925284725452945,false,2077.288414789865,204214.92881731607,165985.55972679958,4.073286104127969E8,1,502,"[0.0]","[43.0]","[0.0]","[0.9884931506849315]","[4.073286104127969E8]","[2.8232594925514096E8]","[165985.55972679958]","[1.2500266115765594E8]","[73.25075675165343]","[-347259632]"
900,900,417.0539536617111,0.9571445976118718,true,2084.563684923519,323914.17957622604,45207.62230089462,8.61586214498162E7,1,481,"[0.9652054794520548]","[43.0]","[128.0]","[0.9884931506849315]","[8.61586214498162E7]","[6.271872556123481E7]","[45207.62230089462]","[2.3439895888581384E7]","[44.08676529900148]","[569501029]"
900,900,511.8893228404529,2.252811696166451,true,2528.5206621173957,235166.29268142008,31214.149931826258,4.5538464732939556E7,1,52,"[0.9849315068493151]","[59.0]","[56.0]","[0.9841095890410959]","[4.5538464732939556E7]","[3.508691152255402E7]","[31214.149931826258]","[1.0451553210385535E7]","[36.38399856408433]","[-1141455595]"
900,900,526.0647306367018,4.388854797297803,true,2566.365905139336,291410.69303939666,63397.16462943039,9.927568706981158E7,1,141,"[0.9465753424657535]","[42.0]","[77.0]","[0.9887671232876712]","[9.927568706981158E7]","[7.169365676358306E7]","[63397.16462943039]","[2.758203030622852E7]","[93.1009741828205]","[1963638842]"
900,900,112.77477196266695,1.0008876203443668,true,2148.0759599147914,303858.75415875146,227551.08263797357,7.558966972024862E8,1,698,"[0.0]","[36.0]","[0.0]","[0.9904109589041096]","[7.558966972024862E8]","[5.203281619275985E8]","[227551.08263797357]","[2.355685352748877E8]","[97.85039253002311]","[-1981023837]"
900,900,475.1935920930876,0.2666201219580854,false,2040.1510887265706,450000.0,0.19784384511756267,2.0190596702026214E7,1,723,"[0.9671232876712329]","[27.0]","[121.0]","[0.9928767123287672]","[2.0190596702026214E7]","[1.7671389728513546E7]","[0.19784384511756267]","[2519206.9735126696]","[3.3674278207175806E-4]","[-892087033]"
900,900,262.50297219562833,2.464641093442147,false,1098.777146590702,113388.5933109437,49114.77484946913,4.612219061039079E7,1,197,"[0.996986301369863]","[508.0]","[12.0]","[0.8610958904109589]","[4.612219061039079E7]","[3.5396756515914276E7]","[49114.77484946913]","[1.0725434094476512E7]","[55.851856647621474]","[-1135195117]"
900,900,50.0,2.116711913644002,true,1822.28961974647,450000.0,417578.7446404215,1.1150919159459164E9,1,320,"[0.0]","[36.0]","[0.0]","[0.9904109589041096]","[1.1150919159459164E9]","[7.664149142122223E8]","[417578.7446404215]","[3.4867700173369414E8]","[62.07313086903814]","[-1158275205]"
900,900,444.0977559524294,1.6816110107251376,true,2026.410229302885,302573.3368654375,43960.56562393861,6.728956564011738E7,1,717,"[0.9726027397260274]","[50.0]","[101.0]","[0.9865753424657534]","[6.728956564011738E7]","[4.988742988350919E7]","[43960.56562393861]","[1.7402135756608196E7]","[43.27298559169557]","[1796460718]"
900,900,213.35640757103837,3.1093110574411873,false,2944.7292108327806,312151.2297632889,191894.49071841783,6.590893274104524E8,1,866,"[0.0]","[24.0]","[0.0]","[0.9936986301369863]","[6.590893274104524E8]","[4.5377827549266315E8]","[191894.49071841783]","[2.0531105191778916E8]","[164.51936694359728]","[-2059185388]"
900,900,110.2899637690029,2.8438129693213403,false,1136.4708841709257,373154.73042817187,299113.95694429404,4.323093149402955E8,1,831,"[0.0]","[56.0]","[0.0]","[0.9849315068493151]","[4.323093149402955E8]","[2.993625806258873E8]","[299113.95694429404]","[1.3294673431440826E8]","[130.1161734310656]","[-1994492850]"
900,900,470.0602651829686,0.6763396932531004,true,1841.4111515897416,188527.6613940795,19795.815778958422,1.6406288044162115E7,2,150,"[0.989041095890411,0.989041095890411]","[181.0,181.0]","[41.0,41.0]","[0.9506849315068493,0.9506849315068493]","[1.6406288044162115E7,1.6431139193728812E7]","[1.5221482887702562E7,1.5202317240474014E7]","[19861.655505666724,19795.815778958422]","[1184805.1564595539,1228821.953254798]","[19.689852274964927,19.635669369761334]","[-1255526722,932830427]"
900,900,104.02923122570931,0.3339662190853159,false,2684.745422670805,223026.70559777427,159660.80520064352,7.396609471095973E8,1,724,"[0.0]","[36.0]","[0.0]","[0.9904109589041096]","[7.396609471095973E8]","[5.092881469054431E8]","[159660.80520064352]","[2.3037280020415428E8]","[70.62842863878319]","[1166509358]"
900,900,183.3867121118438,5.976590763636786,true,1488.1233536152147,275771.5019103181,204544.8841489511,2.3530174352041578E8,2,24,"[0.0,0.0]","[65.0,65.0]","[0.0,0.0]","[0.9824657534246576,0.9824657534246576]","[2.353133333027554E8,2.3530174352041578E8]","[1.6464409731930384E8,1.646288101124068E8]","[204544.8841489511,204570.25315785053]","[7.066923598345155E7,7.067293340800901E7]","[145.04400354270896,141.70158545182335]","[-1634766619,-1506863193]"
900,900,372.1830412168491,5.028481256096715,true,2833.4320157542556,232058.7356912456,103109.36959807646,2.092616837308984E8,1,765,"[0.6264204545454546]","[41.0]","[85.0]","[0.989041095890411]","[2.092616837308984E8]","[1.4656883983268377E8]","[103109.36959807646]","[6.269284389821464E7]","[138.2052795595708]","[481607463]"
900,900,152.31971197868728,2.595455903941606,true,1813.0234887217998,100000.0,73086.48879966416,1.4991910169007286E8,1,178,"[1.0]","[179.0]","[1.0]","[0.9512328767123288]","[1.4991910169007286E8]","[1.0633861644582666E8]","[73086.48879966416]","[4.358048524424621E7]","[42.04686067417204]","[-1836559939]"
