"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelv0.nlogo"
"mathias_et_al"
"08/27/2024 11:24:46:174 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","LongueurFilet","PropBiomassPecheSenegalais","QtéMaxPoissonPirogueEtrangers","PrixPoisson","BiomassInit","nbBoats","LongueurFiletEtrangers","ReserveIntegrale","satifsactionCapitalG","SatisfactionCapital","satisfactionBiomassG","ZonesExclusionPeche","SortieSemaine","capital_totalI","PropBiomassPecheEtrangers","QtéMaxPoissonPirogue","CoutMaintenance","ProportionSenegalais","[step]","sumBiomass","biomassfished","capital_moyen_1","capital_moyen_2","meanMST","medianMFET","MFETb","MFETc","MSTb","MSTc"
"1","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"7","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"6","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"5","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"3","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"8","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"2","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"4","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"11","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"9","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"10","2000","1","31","1900","0","50","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"15","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"12","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"13","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"14","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"16","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"18","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"17","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"23","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"22","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"19","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"20","2000","1","31","1900","0","100","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"21","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"25","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"26","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"24","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"30","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"27","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"28","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"29","2000","1","31","1900","0","150","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"32","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"31","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"33","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"36","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"34","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"39","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"35","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"38","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"37","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"40","2000","1","31","1900","0","200","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"42","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"41","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"44","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"45","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"43","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"47","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"48","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"46","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"49","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"50","2000","1","31","1900","0","250","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"52","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"51","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"53","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"54","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"57","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"55","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"56","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"58","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"61","2000","1","31","1900","0","350","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"59","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"62","2000","1","31","1900","0","350","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"60","2000","1","31","1900","0","300","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"63","2000","1","31","1900","0","350","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"65","2000","1","31","1900","0","350","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"64","2000","1","31","1900","0","350","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
"67","2000","1","31","1900","0","350","3000","0","1085000000","5000000","100000","false","7","100000","3","34","3000","50","0","0","0","100000","100000","0","0","0","0","0","0"
