"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelv0.nlogo"
"mathias_et_al"
"08/23/2024 17:02:40:934 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","LongueurFilet","PropBiomassPecheSenegalais","QtéMaxPoissonPirogueEtrangers","PrixPoisson","BiomassInit","nbBoats","LongueurFiletEtrangers","ReserveIntegrale","satifsactionCapitalG","SatisfactionCapital","satisfactionBiomassG","ZonesExclusionPeche","SortieSemaine","capital_totalI","PropBiomassPecheEtrangers","QtéMaxPoissonPirogue","CoutMaintenance","ProportionSenegalais","[step]","sumBiomass","biomassfished","capital_moyen_1","capital_moyen_2","meanMST","medianMFET","MFETb","MFETc","MSTb","MSTc"
"22","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5704.2784108194055","3.072886125010317","-4827078.562176669","2.7796772092408337E7","0.4234600938210307","274.5","1","1289","1","0.6470265826253768"
"21","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5713.555321801873","3.0288261597889172","-4818596.391282568","2.785560161236906E7","0.4235245756291007","274","1","1285","1","0.6481227733625651"
"24","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5708.096057694128","3.1076962108811337","-4821149.601821951","2.7823187850193437E7","0.42353666596811373","276","1","1290","1","0.6467525349410798"
"23","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5710.183725899547","3.1315143941670422","-4824338.687120959","2.7829269053143322E7","0.42360114777618363","274.5","1","1285","1","0.6481227733625651"
"25","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5702.216205537753","3.0824335470976187","-4820062.49996116","2.787079003854144E7","0.4236172682282011","272.5","1","1283","1","0.6486708687311592"
"26","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5714.409596957838","3.039729517880607","-4822956.387655504","2.785290019138346E7","0.4237865329743846","275","1","1282","1","0.6489449164154563"
"27","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5713.575386425428","3.074847925567762","-4824086.4511445565","2.7856571533342186E7","0.4237502619573453","274.5","1","1284","1","0.6483968210468621"
"28","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5709.048573867544","2.964655849507305","-4829128.092841176","2.7783976454912577E7","0.42338352167394777","274.5","1","1290","1","0.6467525349410798"
"29","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5713.6779327621025","2.9835737958551865","-4820510.262339613","2.786452922612782E7","0.4232908290748472","275","1","1286","1","0.647848725678268"
"30","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5709.189301022721","3.085514577544406","-4826087.624506291","2.783469494700102E7","0.4235003949510744","274","1","1286","1","0.647848725678268"
"31","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7735.920163769394","4.223159857573837","-6885233.739940937","1.4650688613644749E7","0.34488498057485534","564","1","0","1","0"
"32","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7742.401729532625","4.348085112459583","-6885155.972421341","1.464152804352577E7","0.3448003482017636","565","1","0","1","0"
"33","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7739.736232367768","4.225341885308909","-6885930.2988282805","1.4624168099187208E7","0.34488498057485534","564","1","0","1","0"
"34","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7733.674667048901","4.313914355702607","-6883376.257910289","1.4631545470517432E7","0.3449131913658859","564","1","0","1","0"
"35","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7742.374242986453","4.296634667806415","-6885247.353849491","1.4629930447793886E7","0.3448607998968291","562.5","1","0","1","0"
"36","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7735.560690177875","4.300213176234904","-6884527.313906878","1.4635443400827868E7","0.34482855899279413","564.5","1","0","1","0"
"37","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7736.817763817832","4.296367930990982","-6885030.89650938","1.4642505043563595E7","0.3449736430609514","563.5","1","0","1","0"
"38","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7743.770789848866","4.1654095055949325","-6884201.503123254","1.4629512913766846E7","0.3448446794448116","564","1","0","1","0"
"39","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7742.832498063436","4.188362207833539","-6884819.812612091","1.4649001831082089E7","0.3449293118179034","564.5","1","0","1","0"
"40","2000","1","31","1900","10000","60","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7732.654205366043","4.328948643435821","-6883639.754715021","1.4637315921825886E7","0.34490513113987714","564","1","0","1","0"
"41","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5715.492504991","3.156519051270785","-4820194.486487084","2.7851182245697863E7","0.4234802443860526","276","1","1532","1","0.5804329953411894"
"42","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5713.847190485891","3.029840368882527","-4818358.291717523","2.7852554712177437E7","0.4234802443860526","276","1","1531","1","0.5807070430254865"
"43","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5713.566254116844","3.1387230389070515","-4819603.401186229","2.7853363866677754E7","0.4236414489062273","276","1","1531","1","0.5807070430254865"
"44","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5714.6154283353035","3.0065288046172673","-4825502.2584386375","2.785898584342902E7","0.4235568165331356","275.5","1","1529","1","0.5812551383940806"
"45","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5718.116464220334","3.0898207381429463","-4818884.947883837","2.7846498195415772E7","0.42368981026227975","275.5","1","1531","1","0.5807070430254865"
"46","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5703.5779687838785","3.0266852656548453","-4828529.274309481","2.7853643788869347E7","0.42358905743717057","274.5","1","1531","1","0.5807070430254865"
"47","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5709.17354073009","3.084794000552252","-4825881.158873244","2.783016370382851E7","0.4236615994712492","276.5","1","1530","1","0.5809810907097835"
"48","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5715.986159457758","3.072732431650539","-4823989.383701332","2.786292625412527E7","0.423572936985153","275.5","1","1529","1","0.5812551383940806"
"49","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5710.488089798455","3.073901936503397","-4826193.468365766","2.784296621668058E7","0.4233391904308997","275.5","1","1535","1","0.5796108522882981"
"50","2000","1","31","1900","10000","70","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5708.8322013372535","3.0227753094239627","-4819532.169300164","2.7847234669673506E7","0.4236656295842536","274.5","1","1532","1","0.5804329953411894"
"51","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7741.7547798777905","4.248935510513202","-6884689.984882654","1.4635648007240966E7","0.3448769203488466","564","1","0","1","0"
"52","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7739.620030211314","4.402878179781125","-6885294.720240293","1.4641514553736797E7","0.34488498057485534","564.5","1","0","1","0"
"53","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7736.970709244065","4.364503298255004","-6888056.355485959","1.4618096071170922E7","0.344848709557816","564.5","1","0","1","0"
"54","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7747.139026677004","4.250206883976518","-6883375.785677096","1.4639461330518134E7","0.34480437831476796","564.5","1","0","1","0"
"55","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7739.166121339186","4.2698393601671745","-6886466.758999727","1.4644262132012242E7","0.3449131913658859","563","1","0","1","0"
"56","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7735.370006801068","4.436011675260404","-6887919.665269022","1.4608831202008892E7","0.34474392661970243","565","1","0","1","0"
"57","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7738.550065840385","4.0545710667673225","-6884153.980797769","1.4627991894696828E7","0.3448446794448116","563.5","1","0","1","0"
"58","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7734.9071056698","4.374043882700281","-6883863.728274387","1.465493257151337E7","0.34496558283494266","563.5","1","0","1","0"
"59","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7732.445143802858","4.298182571144478","-6886532.513489404","1.4641675912296593E7","0.3449736430609514","563.5","1","0","1","0"
"60","2000","1","31","1900","10000","70","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7743.757562678348","4.261420439211009","-6885483.768748393","1.464025949267877E7","0.34490513113987714","564","1","0","1","0"
"61","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5706.220602946777","3.076510752056525","-4820902.666471561","2.78576477210954E7","0.42377444263537145","275","1","1773","1","0.514387503425596"
"62","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5714.393844444865","3.024583063697288","-4822673.871252453","2.7824742042343788E7","0.4235406960811181","275","1","1777","1","0.5132913126884078"
"63","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5701.594512996716","3.169271433121517","-4825367.246312668","2.7810602153647467E7","0.42345203359502204","275.5","1","1780","1","0.5124691696355166"
"64","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5715.180748425028","2.997462407104428","-4825732.079814349","2.7855396106259275E7","0.4235205455160963","277","1","1775","1","0.5138394080570019"
"65","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5694.505858343643","3.109375923837937","-4824902.32986266","2.785456664113745E7","0.4236414489062273","275.5","1","1779","1","0.5127432173198136"
"66","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5710.674521432173","3.180179884266693","-4823202.07411368","2.7871916007201444E7","0.4235568165331356","274.5","1","1774","1","0.514113455741299"
"67","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5709.445664658881","2.9148164168117394","-4822148.208042355","2.786202331607416E7","0.42363338868021855","274","1","1773","1","0.514387503425596"
"68","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5703.02025575021","3.162195009824339","-4820520.291558162","2.7869091658331253E7","0.4235245756291007","273","1","1775","1","0.5138394080570019"
"69","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5717.205660408404","3.1309172426799243","-4819745.521989255","2.7836703133460876E7","0.4235406960811181","276","1","1773","1","0.514387503425596"
"70","2000","1","31","1900","10000","80","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5705.431536125339","3.020751002950642","-4823937.356647878","2.7819245745235726E7","0.4234439733690133","275","1","1778","1","0.5130172650041107"
"71","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7737.921754674109","4.399918105669831","-6886276.2809828585","1.4626729646290047E7","0.34480437831476796","564","1","0","1","0"
"72","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7738.180190076542","4.483121786811742","-6885546.136419811","1.4635853002790306E7","0.3449091612528815","563.5","1","0","1","0"
"73","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7734.8745528173185","4.345405639768968","-6882587.4013620755","1.4638346403159823E7","0.3448890106878597","564","1","0","1","0"
"74","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7737.864232261255","4.353665644147897","-6884848.279317303","1.4633961220705155E7","0.3448648300098335","564.5","1","0","1","0"
"75","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7739.385768969272","4.353136719534956","-6887454.229786159","1.4640348870006008E7","0.3449414021569165","563.5","1","0","1","0"
"76","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7739.53792903471","4.294115500182428","-6888108.501130094","1.4639342670603143E7","0.3448124385407767","564.5","1","0","1","0"
"77","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7739.353997270353","4.318432203521678","-6883665.841482804","1.4633648022818126E7","0.3447963180887592","563.5","1","0","1","0"
"78","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7736.318590689141","4.3504707949044725","-6885703.99727863","1.4646435818963056E7","0.34496961294794704","564","1","0","1","0"
"79","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7738.466611261415","4.376484043591821","-6884835.821073595","1.4639184732002888E7","0.34490513113987714","563.5","1","0","1","0"
"80","2000","1","31","1900","10000","80","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7736.901442565877","4.209218117283937","-6886502.192655059","1.4640970530205514E7","0.34491722147889026","563.5","1","0","1","0"
"81","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3774.298194189269","2.476801042830045","-7043864.756414463","1.3505922851429727E7","0.3516810944712223","525","1","0","1","0"
"82","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3776.2536928707514","2.94973324441108","-7047328.078347352","1.349965681753013E7","0.3517724436993213","520.5","1","0","1","0"
"83","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3769.732910211953","2.66415636236303","-7048737.019900904","1.3437595779222088E7","0.35119479416869515","525","1","0","1","0"
