BiomassInit,mySeed,nbBoats,om_MFETb,om_MFETc,om_MSTb,om_MSTc,om_biomassfished,om_capitalTotal,om_capital_moyen_1,om_capital_moyen_2,om_sumBiomass,openmole$experiment
210000.0,-1887662897,550.0,40.0,151.0,0.9893150684931507,0.7626582278481012,1.6346729670417883E-8,-7889211.317448658,-6448995.622712375,-1440215.6947362833,8.902957532519046E-6,15926
220000.0,-1887662897,600.0,37.0,203.0,0.9901369863013698,0.3667711598746082,5.097444077082397E-12,-9839669.754905567,-7068709.424277123,-2770960.3306284444,2.997967819557343E-9,15968
140000.0,-1887662897,600.0,14.0,0.0,0.9964383561643836,0.0,3.243828049052436E-12,-1.4154698934940303E7,-8444815.088176465,-5709883.846763838,1.907797703354671E-9,15960
320000.0,-1887662897,550.0,70.0,56.0,0.9810958904109589,0.9703663793103449,2.4909302354922573E-8,-651845.8170646201,-4142136.186990276,3490290.369925656,1.3566411478124289E-5,15937
290000.0,-1887662897,550.0,62.0,67.0,0.9832876712328767,0.9567779960707269,2.2574055259148524E-8,-2625672.7717148135,-4771279.669459941,2145606.8977451273,1.2294560402050163E-5,15934
120000.0,-1887662897,600.0,8.0,0.0,0.9980821917808219,0.0,2.780424042044943E-12,-1.5233456229948964E7,-8788841.504151318,-6444614.725797645,1.6352551743040041E-9,15958
280000.0,-1887662897,600.0,51.0,78.0,0.9863013698630136,0.9158469945355191,6.487656098104872E-12,-6603397.869879622,-6036630.1763526285,-566767.693526993,3.815595406709342E-9,15974
310000.0,-1887662897,600.0,57.0,63.0,0.9846575342465753,0.9476793248945148,7.182762108616107E-12,-4985261.927366691,-5520590.552390368,535328.6250236775,4.224409200285347E-9,15977
360000.0,-1887662897,600.0,67.0,47.0,0.9819178082191781,0.9718482252141983,8.341272126134831E-12,-2288368.6898451676,-4660524.51245322,2372155.8226080523,4.905765522911996E-9,15982
230000.0,-1887662897,600.0,39.0,148.0,0.9895890410958904,0.6711409395973155,5.3291460805861404E-12,-9300291.107401233,-6896696.216289711,-2403594.891111521,3.134239084082676E-9,15969
290000.0,-1887662897,600.0,53.0,72.0,0.9857534246575342,0.9293532338308458,6.719358101608607E-12,-6064019.222375305,-5864616.968365208,-199402.25401009715,3.951866671234654E-9,15975
440000.0,-1887662897,600.0,81.0,34.0,0.9780821917808219,0.9859753506162346,1.0194888154164795E-11,2026660.49018919,-3284418.848553854,5311079.338743044,5.995935639114686E-9,15990
250000.0,-1887662897,600.0,44.0,107.0,0.9882191780821917,0.8348909657320872,5.792550087593627E-12,-8221533.812392569,-6552669.800314869,-1668864.0120777,3.4067816131333346E-9,15971
200000.0,-1887662897,600.0,32.0,0.0,0.9915068493150685,0.0,4.634040070074908E-12,-1.0918427049914224E7,-7412735.840251955,-3505691.2096622684,2.7254252905066672E-9,15966
420000.0,-1887662897,600.0,77.0,37.0,0.9791780821917808,0.9834330418775886,9.731484147157294E-12,947903.1951805707,-3628445.2645286787,4576348.459709249,5.723393110063987E-9,15988
320000.0,-1887662897,600.0,59.0,59.0,0.9841095890410959,0.9545098039215686,7.414464112119833E-12,-4445883.27986238,-5348577.34440294,902694.0645405599,4.3606804648106614E-9,15978
410000.0,-1887662897,600.0,76.0,38.0,0.9794520547945206,0.9822456813819578,9.499782143653547E-12,408524.5476762573,-3800458.4725160967,4208983.020192354,5.587121845538663E-9,15987
390000.0,-1887662897,600.0,72.0,41.0,0.9805479452054795,0.9789915966386554,9.036378136646058E-12,-670232.7473322474,-4144484.888490928,3474252.1411586804,5.314579316488009E-9,15985
350000.0,-1887662897,550.0,77.0,48.0,0.9791780821917808,0.9784897025171625,2.7244549450696496E-8,1321981.1375855831,-3512992.7045206167,4834973.8421062,1.4838262554198432E-5,15940
110000.0,-1887662897,600.0,4.0,0.0,0.9991780821917808,0.0,2.5487220385411987E-12,-1.5772834877453305E7,-8960854.712138753,-6811980.1653145505,1.4989839097786715E-9,15957
370000.0,-1887662897,550.0,81.0,44.0,0.9780821917808219,0.9821131447587355,2.8801380847879166E-8,2637865.7740190434,-3093563.7162075113,5731429.490226555,1.5686163271581224E-5,15942
240000.0,-1887662897,600.0,42.0,123.0,0.9887671232876712,0.7773722627737226,5.560848084089886E-12,-8760912.459896889,-6724683.008302285,-2036229.4515946025,3.2705103486080083E-9,15970
180000.0,-1887662897,600.0,26.0,0.0,0.9931506849315068,0.0,4.1706360630674154E-12,-1.1997184344922852E7,-7756762.2562267855,-4240422.088696067,2.452882761455998E-9,15964
330000.0,-1887662897,600.0,61.0,55.0,0.9835616438356164,0.9604105571847508,7.646166115623585E-12,-3906504.632358093,-5176564.136415517,1270059.504057424,4.496951729335996E-9,15979
450000.0,-1887662897,600.0,82.0,33.0,0.9778082191780821,0.986901350798199,1.0426590157668535E-11,2566039.137693509,-3112405.6405664324,5678444.778259941,6.132206903640013E-9,15991
250000.0,-1887662897,550.0,51.0,91.0,0.9863013698630136,0.9172033118675254,1.9460392464783207E-8,-5257442.0445817355,-5610137.646086156,352695.601504421,1.059875896728459E-5,15930
260000.0,-1887662897,550.0,54.0,83.0,0.9854794520547945,0.9314954051796157,2.023880816337454E-8,-4599499.726365009,-5400423.151929606,800923.425564596,1.1022709325975961E-5,15931
170000.0,-1887662897,600.0,23.0,0.0,0.993972602739726,0.0,3.938934059563665E-12,-1.2536562992427206E7,-7928775.464214209,-4607787.528212997,2.3166114969306665E-9,15963
240000.0,-1887662897,550.0,48.0,101.0,0.9871232876712329,0.8975409836065574,1.8681976766191888E-8,-5915384.362798464,-5819852.140242709,-95532.22255575434,1.0174808608593242E-5,15929
430000.0,-1887662897,600.0,79.0,35.0,0.9786301369863014,0.9849756959787892,9.963186150661059E-12,1487281.8426848645,-3456432.05654127,4943713.899226135,5.859664374589349E-9,15989
390000.0,-1887662897,500.0,94.0,37.0,0.9745205479452055,0.9888302823456407,1.2916406528511236E-6,7242115.132275889,-1609677.0454705567,8851792.177746445,7.763620054463421E-4,15903
410000.0,-1887662897,550.0,90.0,37.0,0.9756164383561644,0.9873373197326768,3.191504364224446E-8,5269635.046885965,-2254705.739581296,7524340.786467262,1.7381964706346743E-5,15946
150000.0,-1887662897,600.0,17.0,0.0,0.9956164383561644,0.0,3.4755300525561725E-12,-1.3615320287435949E7,-8272801.880189039,-5342518.407246909,2.0440689678799982E-9,15961
90000.0,-1887662897,600.0,1.0,0.0,1.0,0.0,2.0853180315337077E-12,-1.6851592172461964E7,-9304881.128113618,-7546711.044348347,1.226441380727999E-9,15955
70000.0,-1887662897,600.0,1.0,0.0,1.0,0.0,1.621914024526218E-12,-1.7930349467470635E7,-9648907.544088494,-8281441.923382141,9.538988516773356E-10,15953
70000.0,1327333872,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69999.99999999903,14928
260000.0,-1887662897,600.0,46.0,95.0,0.9876712328767123,0.8717598908594816,6.0242520910973745E-12,-7682155.164888252,-6380656.59232746,-1301498.572560792,3.543052877658668E-9,15972
230000.0,-1887662897,550.0,46.0,113.0,0.9876712328767123,0.8705202312138728,1.7903561067600566E-8,-6573326.68101519,-6029566.634399259,-543760.0466159299,9.750858249901835E-6,15928
280000.0,-1887662897,550.0,59.0,71.0,0.9841095890410959,0.9505998588567396,2.1795639560557212E-8,-3283615.089931543,-4980994.163616495,1697379.0736849522,1.1870610043358738E-5,15933
350000.0,-1887662897,600.0,65.0,50.0,0.9824657534246576,0.9682642487046632,8.10957012263109E-12,-2827747.337349486,-4832537.720440654,2004790.383091168,4.7694942583866775E-9,15981
370000.0,-1887662897,600.0,69.0,45.0,0.9813698630136987,0.974477958236659,8.572974129638568E-12,-1748990.0423408328,-4488511.304465783,2739521.26212495,5.042036787437326E-9,15983
380000.0,-1887662897,600.0,71.0,43.0,0.9808219178082191,0.9768467475192943,8.804676133142314E-12,-1209611.394836537,-4316498.096478351,3106886.7016418143,5.178308051962663E-9,15984
390000.0,-1887662897,550.0,86.0,40.0,0.9767123287671233,0.9851315287838353,3.035821224506183E-8,3953750.410452496,-2674134.7278944026,6627885.138346898,1.653406398896394E-5,15944
210000.0,-1887662897,600.0,34.0,0.0,0.9909589041095891,0.0,4.865742073578647E-12,-1.0379048402409904E7,-7240722.63226454,-3138325.770145365,2.8616965550319935E-9,15967
190000.0,-1887662897,600.0,29.0,0.0,0.9923287671232877,0.0,4.402338066571157E-12,-1.1457805697418531E7,-7584749.048239362,-3873056.6491791694,2.5891540259813314E-9,15965
400000.0,-1887662897,600.0,74.0,40.0,0.98,0.9804413239719157,9.268080140149816E-12,-130854.09982800623,-3972471.6805035155,3841617.5806755093,5.4508505810133345E-9,15986
300000.0,-1887662897,600.0,55.0,67.0,0.9852054794520548,0.9397260273972603,6.951060105112345E-12,-5524640.574870999,-5692603.760377789,167963.18550679006,4.0881379357599965E-9,15976
450000.0,-1887662897,550.0,98.0,32.0,0.9734246575342466,0.9905516610789393,3.5028706436609824E-8,7901404.31975288,-1415847.7629550763,9317252.082707956,1.907776614111226E-5,15950
150000.0,-1887662897,550.0,20.0,0.0,0.9947945205479453,0.0,1.1676235478869938E-8,-1.1836865226749036E7,-7707282.587651692,-4129582.6390973437,6.359255380370769E-6,15920
190000.0,-1887662897,550.0,33.0,0.0,0.9912328767123287,0.0,1.4789898273235249E-8,-9205095.953882119,-6868424.611025479,-2336671.34285664,8.055056815136305E-6,15924
180000.0,-1887662897,550.0,30.0,0.0,0.9920547945205479,0.0,1.4011482574643927E-8,-9863038.272098843,-7078139.105182029,-2784899.1669168146,7.631106456444922E-6,15923
160000.0,-1887662897,550.0,23.0,0.0,0.993972602739726,0.0,1.2454651177461286E-8,-1.1178922908532308E7,-7497568.093495139,-3681354.8150371695,6.7832057390621446E-6,15921
340000.0,-1887662897,600.0,63.0,52.0,0.983013698630137,0.9649243466299863,7.87786811912733E-12,-3367125.9848537836,-5004550.928428083,1637424.9435742993,4.633222993861333E-9,15980
90000.0,-1887662897,550.0,1.0,0.0,1.0,0.0,7.0057412873219635E-9,-1.578451913604942E7,-8965569.552591017,-6818949.583458404,3.815553228222461E-6,15914
100000.0,-1887662897,550.0,1.0,0.0,1.0,0.0,7.78415698591329E-9,-1.5126576817832695E7,-8755855.058434464,-6370721.759398231,4.239503586913838E-6,15915
60000.0,-1887662897,550.0,1.0,0.0,1.0,0.0,4.670494191547972E-9,-1.7758346090699613E7,-9594713.035060676,-8163633.055638935,2.5437021521483105E-6,15911
440000.0,-1887662897,500.0,106.0,31.0,0.9712328767123287,0.9917808219178083,1.4572356083448576E-6,1.0953411944106128E7,-424635.6410437076,1.1378047585149836E7,8.75895595888184E-4,15908
90000.0,-1887662897,500.0,1.0,0.0,1.0,0.0,2.980709198887212E-7,-1.502566573870557E7,-8719925.472031668,-6305740.266673902,1.7916046279530982E-4,15873
400000.0,-1887662897,500.0,97.0,36.0,0.9736986301369863,0.9895397489539749,1.3247596439498717E-6,7984374.494641956,-1372668.7645851842,9357043.25922714,7.962687235347117E-4,15904
420000.0,-1887662897,500.0,102.0,33.0,0.9723287671232876,0.9910962715637173,1.3909976261473642E-6,9468893.21937404,-898652.2028144475,1.0367545422188487E7,8.36082159711446E-4,15906
450000.0,-1887662897,500.0,108.0,30.0,0.9706849315068493,0.9920547945205479,1.490354599443604E-6,1.1695671306472186E7,-187627.36015834007,1.1883298666630525E7,8.958023139765494E-4,15909
360000.0,-1887662897,500.0,87.0,42.0,0.9764383561643836,0.985619081024202,1.1922836795548847E-6,5015337.045177752,-2320701.8881266695,7336038.933304422,7.166418511812393E-4,15900
270000.0,-1887662897,600.0,49.0,86.0,0.9868493150684932,0.8968446601941747,6.255954094601128E-12,-7142776.517383936,-6208643.384340042,-934133.1330438936,3.6793241421840036E-9,15973
340000.0,-1887662897,500.0,82.0,46.0,0.9778082191780821,0.9827188940092166,1.12604569735739E-6,3530818.3204456544,-2794718.449897409,6325536.770343063,6.768284150045045E-4,15898
310000.0,-1887662897,500.0,74.0,53.0,0.98,0.9767129422301836,1.0266887240611499E-6,1304040.2333475105,-3505743.2925535194,4809783.52590103,6.171082607393987E-4,15895
290000.0,-1887662897,500.0,68.0,59.0,0.9816438356164383,0.9707808564231738,9.604507418636573E-7,-180478.49138458958,-3979759.8543242575,3799281.362939668,5.772948245626647E-4,15893
280000.0,-1887662897,500.0,65.0,63.0,0.9824657534246576,0.966702470461869,9.273317507649111E-7,-922737.8537506424,-4216768.135209631,3294030.281458989,5.573881064742971E-4,15892
240000.0,-1887662897,500.0,53.0,85.0,0.9857534246575342,0.9385065885797951,7.948557863699235E-7,-3891775.303214825,-5164801.258751107,1273025.9555362822,4.7776123412082656E-4,15888
260000.0,-1887662897,500.0,59.0,72.0,0.9841095890410959,0.9560099132589839,8.610937685674156E-7,-2407256.5784827317,-4690784.696980373,2283528.1184976413,5.175746702975616E-4,15890
190000.0,-1887662897,500.0,36.0,157.0,0.9904109589041096,0.7848275862068965,6.292608308761893E-7,-7603072.11504508,-6349842.663177969,-1253229.4518671115,3.7822764367898747E-4,15883
70000.0,-1887662897,500.0,1.0,0.0,1.0,0.0,2.3183293769122777E-7,-1.6510184463437662E7,-9193942.03380241,-7316242.42963525,1.3934702661857427E-4,15871
100000.0,-1887662897,500.0,1.0,0.0,1.0,0.0,3.311899109874679E-7,-1.428340637633952E7,-8482917.1911463,-5800489.18519322,1.9906718088367792E-4,15874
120000.0,-1887662897,500.0,9.0,0.0,0.9978082191780822,0.0,3.9742789318496173E-7,-1.2798887651607424E7,-8008900.629375561,-4789987.022231862,2.3888061706041328E-4,15876
450000.0,-1887662897,450.0,139.0,30.0,0.9621917808219178,0.9920547945205479,0.004805577891003696,2.4250242133906636E7,3804183.8629340637,2.0446058270972572E7,3.0293206387863587,15868
130000.0,-1887662897,550.0,12.0,0.0,0.996986301369863,0.0,1.011940408168727E-8,-1.3152749863182504E7,-8126711.5759648,-5026038.287217704,5.5113546629879804E-6,15918
430000.0,-1887662897,450.0,133.0,32.0,0.9638356164383561,0.9915068493150685,0.0045919966514035345,2.2207742483510785E7,3152753.4690258806,1.9054989014484905E7,2.894684165951415,15866
